"Post ID","Account ID","Account username","Account name",Description,"Duration (sec)","Publish time",Permalink,"Post type","Data comment",Date,Views,Reach,Likes,Shares,Follows,Comments,Saves
17902724751121134,17841409112206242,isb_thailand,"International School Bangkok","Our IASAS Drama Showcase was truly unforgettable—an incredible part of the IASAS Dance, Drama & Tech Cultural Conventions (DDT)!
The students gave a stunning performance of Naomi Iizuka's Anon(ymous), bringing powerful stories to life with raw emotion, compelling storytelling, and outstanding stage presence. Their dedication and passion were evident in every moment!
Now, they’re headed to Singapore (March 5-9) to represent us at the  IASAS Dance, Drama & Tech Cultural Conventions (DDT)! Let’s send them all our best wishes as they share their incredible talent on the international stage! 🌍🎬
#IASAS2025 #DramaMagic #ISB #ProudSchool #DramaOnStage #IASASDDT #ActingExcellence #DramaShowcase #IASAS #CulturalConventions",0,"03/04/2025 00:17",https://www.instagram.com/p/DGxTmZFNd5W/,"IG carousel",,Lifetime,5366,1823,145,9,0,0,1
18106357312696500,17841409112206242,isb_thailand,"International School Bangkok","This year, ISB turns 75.

Seventy-five years of students walking through these gates.
Seventy-five years of teachers opening doors.
Seventy-five years of families building community in Bangkok.

It began with a small group of internationally mobile families who believed a school could do more than deliver lessons.

Over time, that belief shaped something special.

Friendships that span continents.
Teachers who change trajectories.
Students who grow into leaders, creators, and global citizens.

On May 14, we will mark 75 years.

Between now and then, we’ll be sharing stories — moments, memories, milestones — that shaped ISB into the community it is today.

If you’ve been part of ISB’s journey, tell us your first ISB memory in the comments.

#ISB75",0,"02/28/2026 18:00",https://www.instagram.com/p/DVUwRipGIlg/,"IG image",,Lifetime,138925,74686,769,72,113,8,23
17857978497664959,17841409112206242,isb_thailand,"International School Bangkok","Thank you to our amazing parent community for making the Chinese Food Fair such a wonderful success! From authentic dishes to refreshing drinks, the event brought our school community together to celebrate culture, connection, and delicious food. We truly appreciate all the parent volunteers who made this memorable event possible.",0,"02/27/2026 19:00",https://www.instagram.com/p/DVSSVf5AV6N/,"IG carousel",,Lifetime,7375,2418,198,29,1,0,6
18088623113137384,17841409112206242,isb_thailand,"International School Bangkok","Thank you to our Grade 10 and 11 students and parents for joining us last night for U.S. University Case Studies.

Together, we explored what truly shapes the college application experience, from the hidden workload to the importance of building a thoughtful and balanced college list. We are proud to see our families approaching this process with greater clarity, perspective, and confidence.",0,"02/24/2026 22:05",https://www.instagram.com/p/DVK5GIhgTE-/,"IG carousel",,Lifetime,6048,1941,103,8,0,0,5
18076982660575002,17841409112206242,isb_thailand,"International School Bangkok","🏆 𝗣𝗮𝗻𝘁𝗵𝗲𝗿 𝗥𝗼𝗯𝗼𝘁𝗶𝗰𝘀 𝗦𝗵𝗶𝗻𝗲𝘀 𝗮𝘁 𝗧𝗵𝗮𝗶𝗹𝗮𝗻𝗱 𝗡𝗮𝘁𝗶𝗼𝗻𝗮𝗹 𝗧𝗼𝘂𝗿𝗻𝗮𝗺𝗲𝗻𝘁 🏆
𝗪𝗲 𝗮𝗿𝗲 𝗶𝗻𝗰𝗿𝗲𝗱𝗶𝗯𝗹𝘆 𝗽𝗿𝗼𝘂𝗱 𝗼𝗳 𝗼𝘂𝗿 𝟴 𝗘𝗹𝗲𝗺𝗲𝗻𝘁𝗮𝗿𝘆 𝗮𝗻𝗱 𝗠𝗶𝗱𝗱𝗹𝗲 𝗦𝗰𝗵𝗼𝗼𝗹 𝗣𝗮𝗻𝘁𝗵𝗲𝗿 𝗥𝗼𝗯𝗼𝘁𝗶𝗰𝘀 𝘁𝗲𝗮𝗺𝘀 𝘄𝗵𝗼 𝗰𝗼𝗺𝗽𝗲𝘁𝗲𝗱 𝗮𝘁 𝘁𝗵𝗲 𝗧𝗵𝗮𝗶𝗹𝗮𝗻𝗱 𝗡𝗮𝘁𝗶𝗼𝗻𝗮𝗹 𝗙𝗜𝗥𝗦𝗧 𝗟𝗘𝗚𝗢 𝗟𝗲𝗮𝗴𝘂𝗲 𝗧𝗼𝘂𝗿𝗻𝗮𝗺𝗲𝗻𝘁 𝗮𝘁 𝗭𝗲𝗲𝗿 𝗥𝗮𝗻𝗴𝘀𝗶𝘁 𝗼𝗻 𝗙𝗲𝗯𝗿𝘂𝗮𝗿𝘆 𝟭𝟰–𝟭𝟱.
This was a highly competitive event featuring 70 teams from across Thailand, showcasing an inspiring level of innovation, engineering, and collaboration.
All eight of our teams earned team awards, including trophies in Robot Performance and CORE Values, recognizing their teamwork, creativity, and problem-solving. Two of our teams placed in the top 11 out of 70 teams in the Robot Game — an outstanding national achievement!
Beyond the awards, what stood out most was the incredible growth of our students. They:
✨ Persevered through technical challenges
✨ Presented their innovation projects confidently to judges
✨ Collaborated under pressure
✨ Represented ISB with integrity and enthusiasm
Most importantly, they had fun celebrating six months of learning, design, coding, and teamwork.
A heartfelt thank you to our dedicated Panther Robotics coaching team for their countless hours of support:
Mr. Marshall, Ms. Pool, Ms. Marshall, Mr. Przybylski, and Mr. Ciambrello.
We are so proud of our Panthers! 🐾💛",0,"02/19/2026 19:16",https://www.instagram.com/p/DU9twSwjAfK/,"IG carousel",,Lifetime,9867,2222,136,60,1,1,3
18146199727458412,17841409112206242,isb_thailand,"International School Bangkok","A huge thank you to all 82 donors who joined our Blood Drive this week. Our Panthers donated 69 units of blood to the Thai Red Cross. See you again next Fall, and thank you to alt.Eatery for the refreshments.",0,"02/17/2026 23:27",https://www.instagram.com/p/DU5A5iYkv4Z/,"IG carousel",,Lifetime,7078,2577,164,4,0,0,0
17992805387755662,17841409112206242,isb_thailand,"International School Bangkok","𝗔𝗦𝗔𝗦 𝗦𝗽𝗲𝗲𝗰𝗵 𝗮𝗻𝗱 𝗗𝗲𝗯𝗮𝘁𝗲 𝗦𝗵𝗼𝘄𝗰𝗮𝘀𝗲
The 18 members of ISB's IASAS Speech and Debate team displayed their talents at our recent Speech and Debate Showcase. They will be heading off to Jakarta Intercultural School on Wednesday, Feb. 25th to compete against the best speakers from the other IASAS Schools in the disciplines of Original Oratory, Oral Interpretation, Impromptu Speaking, Extemporaneous Speaking and Debate.  Expectations are high after ISB's unprecedented return of 4 gold and 1 silver medal at last year's event in Taipei.",0,"02/17/2026 18:42",https://www.instagram.com/p/DU4gXzajy1e/,"IG carousel",,Lifetime,9426,3365,250,25,0,0,5
18323222989216939,17841409112206242,isb_thailand,"International School Bangkok","IFF wouldn’t have been possible without our amazing community. Thank you to all the organizers, performers, volunteers, and everyone who joined us to celebrate together. Your support and spirit made this event unforgettable. We can’t wait to do it all again. See you next year! 💛

#ISBCommunity #ISB",0,"02/12/2026 04:58",https://www.instagram.com/reel/DUqJ_OTicZs/,"IG reel",,Lifetime,6267,3913,173,26,1,0,6
18037173524537033,17841409112206242,isb_thailand,"International School Bangkok","Join our community at the Intercultural Family Fair this Saturday, February 7, and explore 18 international food booths from around the globe. 
#InterculturalFamilyFair #IFF2026",20,"02/02/2026 00:49",https://www.instagram.com/reel/DUP9eZ3iY94/,"IG reel",,Lifetime,4013,2395,71,23,1,0,0
18109602661640809,17841409112206242,isb_thailand,"International School Bangkok","✨ WORLD OF WONDERS is coming! 🌍
One afternoon. Many cultures. Endless fun.

🎉 Food • Shows • Games • Parade of Nations
🗓 7 Feb 2026 | ⏰ 3:30 to 7:30 PM
📍 ISB International School Bangkok

🎟 500 THB | Kids 5 & under free

#ISBIFF2026 #WorldOfWonders #ISBBangkok #FamilyFair #CulturalCelebration",31,"01/29/2026 23:55",https://www.instagram.com/reel/DUII4dhCSXX/,"IG reel",,Lifetime,4119,2341,132,15,1,0,3
